Species,Light_ISF,Light_Cat,Soil_Conspecific,AMF,Phenolics,Lignin,NSC,Event,Harvest,Alive
Acer saccharum,0.106,Med,Heterospecific,22,-0.56,13.86,12.15,1,NA,NA
Quercus alba,0.106,Med,Heterospecific,15.82,5.19,20.52,19.29,0,NA,X
Quercus rubra,0.106,Med,Heterospecific,24.45,3.36,24.74,15.01,1,NA,NA
Acer saccharum,0.08,Med,Heterospecific,22.23,-0.71,14.29,12.36,1,NA,NA
Acer saccharum,0.06,Low,Heterospecific,21.15,-0.58,10.85,11.2,1,NA,NA
Prunus serotina,0.106,Med,Heterospecific,35.29,0.3,10.8,13.79,1,NA,NA
Quercus alba,0.108,Med,Heterospecific,24,5.11,18.82,22.51,0,X,NA
Quercus rubra,0.108,Med,Sterilized,4,3.43,25.22,14.81,0,X,NA
Quercus rubra,0.108,Med,Heterospecific,28.74,3.83,26.65,14.65,0,NA,X
Acer saccharum,0.108,Med,Heterospecific,14.16,-0.05,13.3,12.16,1,NA,NA
Quercus rubra,0.106,Med,Heterospecific,24.45,3.36,24.74,15.01,0,NA,X
Quercus alba,0.106,Med,Heterospecific,19.68,5.1,18.16,22.56,1,NA,NA
Quercus alba,0.106,Med,Conspecific,11.14,5.05,21.93,17.75,1,NA,NA
Quercus alba,0.108,Med,Heterospecific,11.45,4.79,17.83,23.72,1,NA,NA
Quercus alba,0.108,Med,Sterilized,24,3.68,19.77,19.81,0,X,NA
Quercus alba,0.108,Med,Heterospecific,17.54,5.29,20.84,18.65,0,NA,X
Quercus rubra,0.106,Med,Sterilized,3,3.5,20.44,18.99,0,X,NA
Quercus rubra,0.106,Med,Conspecific,41,3.98,20.17,21.59,0,X,NA
Acer saccharum,0.108,Med,Heterospecific,10,-0.1,12.61,11.75,0,X,NA
Acer saccharum,0.108,Med,Conspecific,22.98,0.44,13.69,12.31,1,NA,NA
Acer saccharum,0.108,Med,Sterilized,8.55,0.08,10.61,11.57,1,NA,NA
Acer saccharum,0.108,Med,Heterospecific,12.86,0.04,13.95,12.5,1,NA,NA
Quercus rubra,0.108,Med,Conspecific,20.45,3.89,24.19,16.19,0,NA,X
Quercus alba,0.106,Med,Heterospecific,9,4.77,17,25.17,0,X,NA
